xai_case_number,domain,dataset,sample_index,sample_id,image_path,relative_path,true_class_index,true_class_name,predicted_class_index,predicted_class_name,confidence,correct,shared8_ground_truth,high_confidence_ge_90,very_high_confidence_ge_95,low_confidence_lt_70,cam_primary_target_index,cam_primary_target_name,generate_true_class_comparison_cam,case_key,primary_selection_role,selection_roles,selection_role_count,selection_strategies,minimum_role_priority,xai_case_id,primary_cam_target_index,primary_cam_target_name,secondary_true_class_cam_required,secondary_cam_target_index,secondary_cam_target_name,image_sha256
11,internal,PlantVillage,1023,PV_TEST_01023,D:\Tomato_Disease_Research\plantvillage\Tomato_Septoria_leaf_spot\7cf8bfef-e8d7-406b-b27c-e5e545096545___JR_Sept.L.S 8427.JPG,D:\Tomato_Disease_Research\plantvillage\Tomato_Septoria_leaf_spot\7cf8bfef-e8d7-406b-b27c-e5e545096545___JR_Sept.L.S 8427.JPG,4,Tomato_Septoria_leaf_spot,4,Tomato_Septoria_leaf_spot,0.7891365749756621,True,True,False,False,False,4,Tomato_Septoria_leaf_spot,False,internal::PV_TEST_01023,internal_relative_lowest_confidence,internal_relative_lowest_confidence,1,rank=1; three_lowest_confidence_correct_shared8_cases,3,XAI_011,4,Tomato_Septoria_leaf_spot,False,-1,,130e009889113c67046fe518a0d575cd88bed509ee0208be12eb75ba2d53b2db
12,internal,PlantVillage,1111,PV_TEST_01111,D:\Tomato_Disease_Research\plantvillage\Tomato_Septoria_leaf_spot\caa74798-7dab-43f3-8ed0-f53d79cb31db___JR_Sept.L.S 8397.JPG,D:\Tomato_Disease_Research\plantvillage\Tomato_Septoria_leaf_spot\caa74798-7dab-43f3-8ed0-f53d79cb31db___JR_Sept.L.S 8397.JPG,4,Tomato_Septoria_leaf_spot,4,Tomato_Septoria_leaf_spot,0.9092378587972696,True,True,True,False,False,4,Tomato_Septoria_leaf_spot,False,internal::PV_TEST_01111,internal_relative_lowest_confidence,internal_relative_lowest_confidence,1,rank=3; three_lowest_confidence_correct_shared8_cases,3,XAI_012,4,Tomato_Septoria_leaf_spot,False,-1,,71f89a877515adf26b5fd395b3458b96dbb007efa280e856a2267d289d4656b5
13,external,PlantDoc,14,PD_EXT_0015,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_Early_blight_leaf\test_Tomato Early blight leaf_6.jpg,test/Tomato_Early_blight_leaf/test_Tomato Early blight leaf_6.jpg,1,Tomato_Early_blight,1,Tomato_Early_blight,0.9999974966049194,True,True,True,True,False,1,Tomato_Early_blight,False,external::PD_EXT_0015,external_representative_correct,external_representative_correct,1,class=1; class_median_correct_confidence=0.999898880720; selected_by=min_absolute_distance_to_median,4,XAI_013,1,Tomato_Early_blight,False,-1,,98d52f733e1e23c5f5059f3ce57c762a1e0fc26028abf8750105d0250c29f670
14,external,PlantDoc,25,PD_EXT_0026,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_leaf_late_blight\test_Tomato leaf late blight_7.jpg,test/Tomato_leaf_late_blight/test_Tomato leaf late blight_7.jpg,2,Tomato_Late_blight,2,Tomato_Late_blight,0.9999902248382568,True,True,True,True,False,2,Tomato_Late_blight,False,external::PD_EXT_0026,external_representative_correct,external_representative_correct,1,class=2; class_median_correct_confidence=0.999993264675; selected_by=min_absolute_distance_to_median,4,XAI_014,2,Tomato_Late_blight,False,-1,,f77f5a7245b8a2ff0e3640693e679ac52b036ab639bbfef405d7de4ed4768536
15,external,PlantDoc,29,PD_EXT_0030,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_mold_leaf\test_Tomato mold leaf_2.jpg,test/Tomato_mold_leaf/test_Tomato mold leaf_2.jpg,3,Tomato_Leaf_Mold,3,Tomato_Leaf_Mold,0.9955716133117676,True,True,True,True,False,3,Tomato_Leaf_Mold,False,external::PD_EXT_0030,external_representative_correct,external_representative_correct,1,class=3; class_median_correct_confidence=0.995571613312; selected_by=min_absolute_distance_to_median,4,XAI_015,3,Tomato_Leaf_Mold,False,-1,,038898eee33130b1e02ecee95413923d4c51b9f81bd0277c29381a479bf53f2c
16,external,PlantDoc,41,PD_EXT_0042,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_Septoria_leaf_spot\test_Tomato Septoria leaf spot_5.jpg,test/Tomato_Septoria_leaf_spot/test_Tomato Septoria leaf spot_5.jpg,4,Tomato_Septoria_leaf_spot,4,Tomato_Septoria_leaf_spot,0.9999881982803344,True,True,True,True,False,4,Tomato_Septoria_leaf_spot,False,external::PD_EXT_0042,external_representative_correct,external_representative_correct,1,class=4; class_median_correct_confidence=0.999977588654; selected_by=min_absolute_distance_to_median,4,XAI_016,4,Tomato_Septoria_leaf_spot,False,-1,,7ed449219a867cb8b5f6fa13d5d025d450101fcb84376378d4e583a317950427
17,external,PlantDoc,55,PD_EXT_0056,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_leaf_yellow_virus\test_Tomato leaf yellow virus_4_1.jpg,test/Tomato_leaf_yellow_virus/test_Tomato leaf yellow virus_4_1.jpg,7,Tomato__Tomato_YellowLeaf__Curl_Virus,7,Tomato__Tomato_YellowLeaf__Curl_Virus,0.9883350133895874,True,True,True,True,False,7,Tomato__Tomato_YellowLeaf__Curl_Virus,False,external::PD_EXT_0056,external_representative_correct,external_representative_correct,1,class=7; class_median_correct_confidence=0.981935739517; selected_by=min_absolute_distance_to_median,4,XAI_017,7,Tomato__Tomato_YellowLeaf__Curl_Virus,False,-1,,77db756978b28277804b99ae9041710396f1c84804121bf555bc659b19c44325
18,external,PlantDoc,78,PD_EXT_0079,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_leaf\test_Tomato leaf_8.jpg,test/Tomato_leaf/test_Tomato leaf_8.jpg,9,Tomato_healthy,9,Tomato_healthy,0.9221420288085938,True,True,True,False,False,9,Tomato_healthy,False,external::PD_EXT_0079,external_representative_correct,external_representative_correct,1,class=9; class_median_correct_confidence=0.922142028809; selected_by=min_absolute_distance_to_median,4,XAI_018,9,Tomato_healthy,False,-1,,66e581feb1714e0cfd3e2afdc8f90dcf0394b897886233aa515b7dea1390da1a
19,external,PlantDoc,0,PD_EXT_0001,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_leaf_bacterial_spot\test_Tomato leaf bacterial spot_1.jpg,test/Tomato_leaf_bacterial_spot/test_Tomato leaf bacterial spot_1.jpg,0,Tomato_Bacterial_spot,4,Tomato_Septoria_leaf_spot,0.9995757937431335,False,True,True,True,False,4,Tomato_Septoria_leaf_spot,True,external::PD_EXT_0001,external_representative_incorrect,external_representative_incorrect,1,class=0; class_median_error_confidence=0.999575793743; selected_by=min_absolute_distance_to_median,5,XAI_019,4,Tomato_Septoria_leaf_spot,True,0,Tomato_Bacterial_spot,e23a29c94b58aac28e92f57f95eb6f53e99c874323cb2b90ebd327085721574e
20,external,PlantDoc,11,PD_EXT_0012,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_Early_blight_leaf\test_Tomato Early blight leaf_3.jpg,test/Tomato_Early_blight_leaf/test_Tomato Early blight leaf_3.jpg,1,Tomato_Early_blight,4,Tomato_Septoria_leaf_spot,0.997334361076355,False,True,True,True,False,4,Tomato_Septoria_leaf_spot,True,external::PD_EXT_0012,external_representative_incorrect,external_representative_incorrect,1,class=1; class_median_error_confidence=0.997334361076; selected_by=min_absolute_distance_to_median,5,XAI_020,4,Tomato_Septoria_leaf_spot,True,1,Tomato_Early_blight,55570c32bf51ea713ee2dc293078ce3008986ad281a8cce626fbb264e0b44679
21,external,PlantDoc,22,PD_EXT_0023,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_leaf_late_blight\test_Tomato leaf late blight_4.jpg,test/Tomato_leaf_late_blight/test_Tomato leaf late blight_4.jpg,2,Tomato_Late_blight,1,Tomato_Early_blight,0.9999958276748656,False,True,True,True,False,1,Tomato_Early_blight,True,external::PD_EXT_0023,external_representative_incorrect,external_representative_incorrect;external_high_confidence_incorrect,2,class=2; class_median_error_confidence=0.999994754791; selected_by=min_absolute_distance_to_median || rank=2; top5_errors_among_confidence_ge_0.90,5,XAI_021,1,Tomato_Early_blight,True,2,Tomato_Late_blight,69526a0f4413d8f8e786650a8264e460496e41e0a794747b8358c7d4074dfee6
22,external,PlantDoc,28,PD_EXT_0029,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_mold_leaf\test_Tomato mold leaf_1.jpg,test/Tomato_mold_leaf/test_Tomato mold leaf_1.jpg,3,Tomato_Leaf_Mold,1,Tomato_Early_blight,0.9889935851097108,False,True,True,True,False,1,Tomato_Early_blight,True,external::PD_EXT_0029,external_representative_incorrect,external_representative_incorrect,1,class=3; class_median_error_confidence=0.988993585110; selected_by=min_absolute_distance_to_median,5,XAI_022,1,Tomato_Early_blight,True,3,Tomato_Leaf_Mold,bfdd82a0f88aab850f5f214c7104d42d4266c11400b47285563b18693b4aa9f8
23,external,PlantDoc,34,PD_EXT_0035,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_Septoria_leaf_spot\test_Tomato Septoria leaf spot_10.jpg,test/Tomato_Septoria_leaf_spot/test_Tomato Septoria leaf spot_10.jpg,4,Tomato_Septoria_leaf_spot,1,Tomato_Early_blight,0.9999233484268188,False,True,True,True,False,1,Tomato_Early_blight,True,external::PD_EXT_0035,external_representative_incorrect,external_representative_incorrect,1,class=4; class_median_error_confidence=0.976273566484; selected_by=min_absolute_distance_to_median,5,XAI_023,1,Tomato_Early_blight,True,4,Tomato_Septoria_leaf_spot,c80add2c370abf75ee50396e7dec72b686732c7474df5bbba02343ae504751c9
24,external,PlantDoc,46,PD_EXT_0047,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_leaf_yellow_virus\test_Tomato leaf yellow virus_1.jpg,test/Tomato_leaf_yellow_virus/test_Tomato leaf yellow virus_1.jpg,7,Tomato__Tomato_YellowLeaf__Curl_Virus,2,Tomato_Late_blight,0.97798490524292,False,True,True,True,False,2,Tomato_Late_blight,True,external::PD_EXT_0047,external_representative_incorrect,external_representative_incorrect,1,class=7; class_median_error_confidence=0.977984905243; selected_by=min_absolute_distance_to_median,5,XAI_024,2,Tomato_Late_blight,True,7,Tomato__Tomato_YellowLeaf__Curl_Virus,9ac4376dfcbf51d037888a2183aa8984cf60ec0227fe82dcdd7b49275df6d38a
25,external,PlantDoc,67,PD_EXT_0068,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_leaf_mosaic_virus\test_Tomato leaf mosaic virus_6.jpg,test/Tomato_leaf_mosaic_virus/test_Tomato leaf mosaic virus_6.jpg,8,Tomato__Tomato_mosaic_virus,2,Tomato_Late_blight,0.9331840872764589,False,True,True,False,False,2,Tomato_Late_blight,True,external::PD_EXT_0068,external_representative_incorrect,external_representative_incorrect,1,class=8; class_median_error_confidence=0.936561286449; selected_by=min_absolute_distance_to_median,5,XAI_025,2,Tomato_Late_blight,True,8,Tomato__Tomato_mosaic_virus,3be8d7001035234d99b56906f4b1d0d0037b22b785396889d3b9ce6eaa7d15cc
26,external,PlantDoc,73,PD_EXT_0074,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_leaf\test_Tomato leaf_3.jpg,test/Tomato_leaf/test_Tomato leaf_3.jpg,9,Tomato_healthy,2,Tomato_Late_blight,0.9657007455825806,False,True,True,True,False,2,Tomato_Late_blight,True,external::PD_EXT_0074,external_representative_incorrect,external_representative_incorrect,1,class=9; class_median_error_confidence=0.965700745583; selected_by=min_absolute_distance_to_median,5,XAI_026,2,Tomato_Late_blight,True,9,Tomato_healthy,36d4cf67739d3d7b079eed20331535674781886f75abbf7f010999a45b00980f
27,external,PlantDoc,9,PD_EXT_0010,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_Early_blight_leaf\test_Tomato Early blight leaf_1.jpg,test/Tomato_Early_blight_leaf/test_Tomato Early blight leaf_1.jpg,1,Tomato_Early_blight,1,Tomato_Early_blight,0.999998927116394,True,True,True,True,False,1,Tomato_Early_blight,False,external::PD_EXT_0010,external_high_confidence_correct,external_high_confidence_correct,1,rank=1; top5_correct_among_confidence_ge_0.90,6,XAI_027,1,Tomato_Early_blight,False,-1,,7571d72639461cc8de512dd2087c63cc1877322ae1954f7b4521756789c362c9
28,external,PlantDoc,12,PD_EXT_0013,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_Early_blight_leaf\test_Tomato Early blight leaf_4.jpg,test/Tomato_Early_blight_leaf/test_Tomato Early blight leaf_4.jpg,1,Tomato_Early_blight,1,Tomato_Early_blight,0.9999988079071044,True,True,True,True,False,1,Tomato_Early_blight,False,external::PD_EXT_0013,external_high_confidence_correct,external_high_confidence_correct,1,rank=2; top5_correct_among_confidence_ge_0.90,6,XAI_028,1,Tomato_Early_blight,False,-1,,9650bd867d436b35710a6c8e5142baf3744910eee250372efe547f23d514980a
29,external,PlantDoc,18,PD_EXT_0019,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_leaf_late_blight\test_Tomato leaf late blight_1.jpg,test/Tomato_leaf_late_blight/test_Tomato leaf late blight_1.jpg,2,Tomato_Late_blight,2,Tomato_Late_blight,0.9999982118606568,True,True,True,True,False,2,Tomato_Late_blight,False,external::PD_EXT_0019,external_high_confidence_correct,external_high_confidence_correct,1,rank=4; top5_correct_among_confidence_ge_0.90,6,XAI_029,2,Tomato_Late_blight,False,-1,,fd87cea75ee543ab40c76fb94cbc40e42d1c848e5f5dd7756e56f44d0367c734
30,external,PlantDoc,27,PD_EXT_0028,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_leaf_late_blight\test_Tomato leaf late blight_9.jpg,test/Tomato_leaf_late_blight/test_Tomato leaf late blight_9.jpg,2,Tomato_Late_blight,2,Tomato_Late_blight,0.9999980926513672,True,True,True,True,False,2,Tomato_Late_blight,False,external::PD_EXT_0028,external_high_confidence_correct,external_high_confidence_correct,1,rank=5; top5_correct_among_confidence_ge_0.90,6,XAI_030,2,Tomato_Late_blight,False,-1,,0024d2b0e3bd578375ffb676d5c5a20c3f6d82d335f8758a215a539ac3a27ff6
31,external,PlantDoc,45,PD_EXT_0046,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_Septoria_leaf_spot\test_Tomato Septoria leaf spot_9.jpg,test/Tomato_Septoria_leaf_spot/test_Tomato Septoria leaf spot_9.jpg,4,Tomato_Septoria_leaf_spot,4,Tomato_Septoria_leaf_spot,0.9999984502792358,True,True,True,True,False,4,Tomato_Septoria_leaf_spot,False,external::PD_EXT_0046,external_high_confidence_correct,external_high_confidence_correct,1,rank=3; top5_correct_among_confidence_ge_0.90,6,XAI_031,4,Tomato_Septoria_leaf_spot,False,-1,,2d87a16ce8325e687e246afc29a9b6468cddc7841d113ac7d4948b0fefee6197
32,external,PlantDoc,10,PD_EXT_0011,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_Early_blight_leaf\test_Tomato Early blight leaf_2.jpg,test/Tomato_Early_blight_leaf/test_Tomato Early blight leaf_2.jpg,1,Tomato_Early_blight,2,Tomato_Late_blight,0.9999966621398926,False,True,True,True,False,2,Tomato_Late_blight,True,external::PD_EXT_0011,external_high_confidence_incorrect,external_high_confidence_incorrect,1,rank=1; top5_errors_among_confidence_ge_0.90,7,XAI_032,2,Tomato_Late_blight,True,1,Tomato_Early_blight,33051105a7999fd6346911a9de67485f5678af4af738076308b1edafada1bfe7
33,external,PlantDoc,19,PD_EXT_0020,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_leaf_late_blight\test_Tomato leaf late blight_10.jpg,test/Tomato_leaf_late_blight/test_Tomato leaf late blight_10.jpg,2,Tomato_Late_blight,3,Tomato_Leaf_Mold,0.9999936819076538,False,True,True,True,False,3,Tomato_Leaf_Mold,True,external::PD_EXT_0020,external_high_confidence_incorrect,external_high_confidence_incorrect,1,rank=3; top5_errors_among_confidence_ge_0.90,7,XAI_033,3,Tomato_Leaf_Mold,True,2,Tomato_Late_blight,3d2fdce4dd866c8db1a76996e0115dec623b25cfa90a98e8259d6fabc038b3d2
34,external,PlantDoc,36,PD_EXT_0037,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_Septoria_leaf_spot\test_Tomato Septoria leaf spot_1_1.jpg,test/Tomato_Septoria_leaf_spot/test_Tomato Septoria leaf spot_1_1.jpg,4,Tomato_Septoria_leaf_spot,1,Tomato_Early_blight,0.9999880790710448,False,True,True,True,False,1,Tomato_Early_blight,True,external::PD_EXT_0037,external_high_confidence_incorrect,external_high_confidence_incorrect,1,rank=5; top5_errors_among_confidence_ge_0.90,7,XAI_034,1,Tomato_Early_blight,True,4,Tomato_Septoria_leaf_spot,21865e8bcdb9cf6b85f623c1b5e8151707eafa2d6413623e0245245c9fd9ecb6
35,external,PlantDoc,53,PD_EXT_0054,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_leaf_yellow_virus\test_Tomato leaf yellow virus_3_1.jpg,test/Tomato_leaf_yellow_virus/test_Tomato leaf yellow virus_3_1.jpg,7,Tomato__Tomato_YellowLeaf__Curl_Virus,2,Tomato_Late_blight,0.9999914169311525,False,True,True,True,False,2,Tomato_Late_blight,True,external::PD_EXT_0054,external_high_confidence_incorrect,external_high_confidence_incorrect,1,rank=4; top5_errors_among_confidence_ge_0.90,7,XAI_035,2,Tomato_Late_blight,True,7,Tomato__Tomato_YellowLeaf__Curl_Virus,366ecc5b81d6a99664ab8b0192759cd99188548fb5a618ec3704bab1cadad617
36,external,PlantDoc,3,PD_EXT_0004,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_leaf_bacterial_spot\test_Tomato leaf bacterial spot_4.jpg,test/Tomato_leaf_bacterial_spot/test_Tomato leaf bacterial spot_4.jpg,0,Tomato_Bacterial_spot,4,Tomato_Septoria_leaf_spot,0.5455209612846375,False,True,False,False,True,4,Tomato_Septoria_leaf_spot,True,external::PD_EXT_0004,external_low_confidence,external_low_confidence,1,rank=3; bottom5_among_confidence_lt_0.70,8,XAI_036,4,Tomato_Septoria_leaf_spot,True,0,Tomato_Bacterial_spot,f8a309c930537862201f172a32c48db8558e0f3e119757ec85a5dc22d9e96e7f
37,external,PlantDoc,58,PD_EXT_0059,D:\Tomato_Disease_Research\external_dataset\PlantDoc_tomato_subset\test\Tomato_leaf_yellow_virus\test_Tomato leaf yellow virus_6_1.jpg,test/Tomato_leaf_yellow_virus/test_Tomato leaf yellow virus_6_1.jpg,7,Tomato__Tomato_YellowLeaf__Curl_Virus,2,Tomato_Late_blight,0.5530862808227539,False,True,False,False,True,2,Tomato_Late_blight,True,external::PD_EXT_0059,external_low_confidence,external_low_confidence,1,rank=4; bottom5_among_confidence_lt_0.70,8,XAI_037,2,Tomato_Late_blight,True,7,Tomato__Tomato_YellowLeaf__Curl_Virus,ca3e97152a4c54c5da5bf5fcdd21a04f68d570e57933b479b2a1ae15681cb08f
