case_key,domain,dataset,sample_id,sample_index,selection_role,role_priority,strategy_detail,true_class_index,true_class_name,predicted_class_index,predicted_class_name,confidence,correct
internal::PV_TEST_01111,internal,PlantVillage,PV_TEST_01111,1111,internal_relative_lowest_confidence,3,rank=3; three_lowest_confidence_correct_shared8_cases,4,Tomato_Septoria_leaf_spot,4,Tomato_Septoria_leaf_spot,0.9092378587972696,True
internal::PV_TEST_01023,internal,PlantVillage,PV_TEST_01023,1023,internal_relative_lowest_confidence,3,rank=1; three_lowest_confidence_correct_shared8_cases,4,Tomato_Septoria_leaf_spot,4,Tomato_Septoria_leaf_spot,0.7891365749756621,True
external::PD_EXT_0015,external,PlantDoc,PD_EXT_0015,14,external_representative_correct,4,class=1; class_median_correct_confidence=0.999898880720; selected_by=min_absolute_distance_to_median,1,Tomato_Early_blight,1,Tomato_Early_blight,0.9999974966049194,True
external::PD_EXT_0026,external,PlantDoc,PD_EXT_0026,25,external_representative_correct,4,class=2; class_median_correct_confidence=0.999993264675; selected_by=min_absolute_distance_to_median,2,Tomato_Late_blight,2,Tomato_Late_blight,0.9999902248382568,True
external::PD_EXT_0030,external,PlantDoc,PD_EXT_0030,29,external_representative_correct,4,class=3; class_median_correct_confidence=0.995571613312; selected_by=min_absolute_distance_to_median,3,Tomato_Leaf_Mold,3,Tomato_Leaf_Mold,0.9955716133117676,True
external::PD_EXT_0042,external,PlantDoc,PD_EXT_0042,41,external_representative_correct,4,class=4; class_median_correct_confidence=0.999977588654; selected_by=min_absolute_distance_to_median,4,Tomato_Septoria_leaf_spot,4,Tomato_Septoria_leaf_spot,0.9999881982803344,True
external::PD_EXT_0056,external,PlantDoc,PD_EXT_0056,55,external_representative_correct,4,class=7; class_median_correct_confidence=0.981935739517; selected_by=min_absolute_distance_to_median,7,Tomato__Tomato_YellowLeaf__Curl_Virus,7,Tomato__Tomato_YellowLeaf__Curl_Virus,0.9883350133895874,True
external::PD_EXT_0079,external,PlantDoc,PD_EXT_0079,78,external_representative_correct,4,class=9; class_median_correct_confidence=0.922142028809; selected_by=min_absolute_distance_to_median,9,Tomato_healthy,9,Tomato_healthy,0.9221420288085938,True
external::PD_EXT_0001,external,PlantDoc,PD_EXT_0001,0,external_representative_incorrect,5,class=0; class_median_error_confidence=0.999575793743; selected_by=min_absolute_distance_to_median,0,Tomato_Bacterial_spot,4,Tomato_Septoria_leaf_spot,0.9995757937431335,False
external::PD_EXT_0012,external,PlantDoc,PD_EXT_0012,11,external_representative_incorrect,5,class=1; class_median_error_confidence=0.997334361076; selected_by=min_absolute_distance_to_median,1,Tomato_Early_blight,4,Tomato_Septoria_leaf_spot,0.997334361076355,False
external::PD_EXT_0023,external,PlantDoc,PD_EXT_0023,22,external_representative_incorrect,5,class=2; class_median_error_confidence=0.999994754791; selected_by=min_absolute_distance_to_median,2,Tomato_Late_blight,1,Tomato_Early_blight,0.9999958276748656,False
external::PD_EXT_0029,external,PlantDoc,PD_EXT_0029,28,external_representative_incorrect,5,class=3; class_median_error_confidence=0.988993585110; selected_by=min_absolute_distance_to_median,3,Tomato_Leaf_Mold,1,Tomato_Early_blight,0.9889935851097108,False
external::PD_EXT_0035,external,PlantDoc,PD_EXT_0035,34,external_representative_incorrect,5,class=4; class_median_error_confidence=0.976273566484; selected_by=min_absolute_distance_to_median,4,Tomato_Septoria_leaf_spot,1,Tomato_Early_blight,0.9999233484268188,False
external::PD_EXT_0047,external,PlantDoc,PD_EXT_0047,46,external_representative_incorrect,5,class=7; class_median_error_confidence=0.977984905243; selected_by=min_absolute_distance_to_median,7,Tomato__Tomato_YellowLeaf__Curl_Virus,2,Tomato_Late_blight,0.97798490524292,False
external::PD_EXT_0068,external,PlantDoc,PD_EXT_0068,67,external_representative_incorrect,5,class=8; class_median_error_confidence=0.936561286449; selected_by=min_absolute_distance_to_median,8,Tomato__Tomato_mosaic_virus,2,Tomato_Late_blight,0.9331840872764589,False
external::PD_EXT_0074,external,PlantDoc,PD_EXT_0074,73,external_representative_incorrect,5,class=9; class_median_error_confidence=0.965700745583; selected_by=min_absolute_distance_to_median,9,Tomato_healthy,2,Tomato_Late_blight,0.9657007455825806,False
external::PD_EXT_0010,external,PlantDoc,PD_EXT_0010,9,external_high_confidence_correct,6,rank=1; top5_correct_among_confidence_ge_0.90,1,Tomato_Early_blight,1,Tomato_Early_blight,0.999998927116394,True
external::PD_EXT_0013,external,PlantDoc,PD_EXT_0013,12,external_high_confidence_correct,6,rank=2; top5_correct_among_confidence_ge_0.90,1,Tomato_Early_blight,1,Tomato_Early_blight,0.9999988079071044,True
external::PD_EXT_0019,external,PlantDoc,PD_EXT_0019,18,external_high_confidence_correct,6,rank=4; top5_correct_among_confidence_ge_0.90,2,Tomato_Late_blight,2,Tomato_Late_blight,0.9999982118606568,True
external::PD_EXT_0028,external,PlantDoc,PD_EXT_0028,27,external_high_confidence_correct,6,rank=5; top5_correct_among_confidence_ge_0.90,2,Tomato_Late_blight,2,Tomato_Late_blight,0.9999980926513672,True
external::PD_EXT_0046,external,PlantDoc,PD_EXT_0046,45,external_high_confidence_correct,6,rank=3; top5_correct_among_confidence_ge_0.90,4,Tomato_Septoria_leaf_spot,4,Tomato_Septoria_leaf_spot,0.9999984502792358,True
external::PD_EXT_0011,external,PlantDoc,PD_EXT_0011,10,external_high_confidence_incorrect,7,rank=1; top5_errors_among_confidence_ge_0.90,1,Tomato_Early_blight,2,Tomato_Late_blight,0.9999966621398926,False
external::PD_EXT_0023,external,PlantDoc,PD_EXT_0023,22,external_high_confidence_incorrect,7,rank=2; top5_errors_among_confidence_ge_0.90,2,Tomato_Late_blight,1,Tomato_Early_blight,0.9999958276748656,False
external::PD_EXT_0020,external,PlantDoc,PD_EXT_0020,19,external_high_confidence_incorrect,7,rank=3; top5_errors_among_confidence_ge_0.90,2,Tomato_Late_blight,3,Tomato_Leaf_Mold,0.9999936819076538,False
external::PD_EXT_0037,external,PlantDoc,PD_EXT_0037,36,external_high_confidence_incorrect,7,rank=5; top5_errors_among_confidence_ge_0.90,4,Tomato_Septoria_leaf_spot,1,Tomato_Early_blight,0.9999880790710448,False
external::PD_EXT_0054,external,PlantDoc,PD_EXT_0054,53,external_high_confidence_incorrect,7,rank=4; top5_errors_among_confidence_ge_0.90,7,Tomato__Tomato_YellowLeaf__Curl_Virus,2,Tomato_Late_blight,0.9999914169311525,False
external::PD_EXT_0004,external,PlantDoc,PD_EXT_0004,3,external_low_confidence,8,rank=3; bottom5_among_confidence_lt_0.70,0,Tomato_Bacterial_spot,4,Tomato_Septoria_leaf_spot,0.5455209612846375,False
external::PD_EXT_0059,external,PlantDoc,PD_EXT_0059,58,external_low_confidence,8,rank=4; bottom5_among_confidence_lt_0.70,7,Tomato__Tomato_YellowLeaf__Curl_Virus,2,Tomato_Late_blight,0.5530862808227539,False
external::PD_EXT_0060,external,PlantDoc,PD_EXT_0060,59,external_low_confidence,8,rank=2; bottom5_among_confidence_lt_0.70,7,Tomato__Tomato_YellowLeaf__Curl_Virus,0,Tomato_Bacterial_spot,0.4406662881374359,False
external::PD_EXT_0065,external,PlantDoc,PD_EXT_0065,64,external_low_confidence,8,rank=1; bottom5_among_confidence_lt_0.70,8,Tomato__Tomato_mosaic_virus,3,Tomato_Leaf_Mold,0.37744140625,False
external::PD_EXT_0078,external,PlantDoc,PD_EXT_0078,77,external_low_confidence,8,rank=5; bottom5_among_confidence_lt_0.70,9,Tomato_healthy,2,Tomato_Late_blight,0.5818392634391785,False
