xai_case_id,domain,dataset,sample_id,selection_roles,true_class_index,true_class_name,predicted_class_index,predicted_class_name,correct,confidence,input_image_path,primary_overlay_path,secondary_overlay_path,leaf_visibility,symptom_visibility,background_complexity,multiple_leaves_or_objects,case_annotation_confidence,case_context_note,annotation_source,annotation_scope,expert_pathology_validation
XAI_011,internal,PlantVillage,PV_TEST_01023,internal_relative_lowest_confidence,4,Tomato_Septoria_leaf_spot,4,Tomato_Septoria_leaf_spot,True,0.7891365749756621,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_011\input_transformed.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_011\primary_predicted_class_overlay.png,,CLEAR,CLEAR,LOW,YES,HIGH,Main leaf plus smaller leaflet on a plain background with visible mottling and spots.,ChatGPT_structured_visual_review_of_locked_PART22_atlas,visual_descriptive_non_pathologist_review,False
XAI_012,internal,PlantVillage,PV_TEST_01111,internal_relative_lowest_confidence,4,Tomato_Septoria_leaf_spot,4,Tomato_Septoria_leaf_spot,True,0.9092378587972696,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_012\input_transformed.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_012\primary_predicted_class_overlay.png,,CLEAR,CLEAR,LOW,NO,HIGH,Single leaf on a plain background with visible mottling and discoloration.,ChatGPT_structured_visual_review_of_locked_PART22_atlas,visual_descriptive_non_pathologist_review,False
XAI_013,external,PlantDoc,PD_EXT_0015,external_representative_correct,1,Tomato_Early_blight,1,Tomato_Early_blight,True,0.9999974966049194,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_013\input_transformed.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_013\primary_predicted_class_overlay.png,,CLEAR,CLEAR,HIGH,YES,HIGH,Large damaged leaf in a natural foliage scene with substantial background clutter.,ChatGPT_structured_visual_review_of_locked_PART22_atlas,visual_descriptive_non_pathologist_review,False
XAI_014,external,PlantDoc,PD_EXT_0026,external_representative_correct,2,Tomato_Late_blight,2,Tomato_Late_blight,True,0.9999902248382568,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_014\input_transformed.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_014\primary_predicted_class_overlay.png,,PARTIAL,SUBTLE,HIGH,YES,MEDIUM,Natural multi-leaf scene; the relevant abnormal area is not isolated and the visible lesion is relatively small.,ChatGPT_structured_visual_review_of_locked_PART22_atlas,visual_descriptive_non_pathologist_review,False
XAI_015,external,PlantDoc,PD_EXT_0030,external_representative_correct,3,Tomato_Leaf_Mold,3,Tomato_Leaf_Mold,True,0.9955716133117676,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_015\input_transformed.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_015\primary_predicted_class_overlay.png,,CLEAR,CLEAR,LOW,YES,HIGH,Several overlapping leaves on a simple surface with visible pale and yellow abnormalities.,ChatGPT_structured_visual_review_of_locked_PART22_atlas,visual_descriptive_non_pathologist_review,False
XAI_016,external,PlantDoc,PD_EXT_0042,external_representative_correct,4,Tomato_Septoria_leaf_spot,4,Tomato_Septoria_leaf_spot,True,0.9999881982803344,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_016\input_transformed.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_016\primary_predicted_class_overlay.png,,CLEAR,CLEAR,HIGH,YES,HIGH,Outdoor multi-leaf scene with numerous clearly visible dark spot-like abnormalities.,ChatGPT_structured_visual_review_of_locked_PART22_atlas,visual_descriptive_non_pathologist_review,False
XAI_017,external,PlantDoc,PD_EXT_0056,external_representative_correct,7,Tomato__Tomato_YellowLeaf__Curl_Virus,7,Tomato__Tomato_YellowLeaf__Curl_Virus,True,0.9883350133895874,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_017\input_transformed.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_017\primary_predicted_class_overlay.png,,CLEAR,CLEAR,MODERATE,YES,MEDIUM,Whole plant with several curled leaves and a dark background containing visible text.,ChatGPT_structured_visual_review_of_locked_PART22_atlas,visual_descriptive_non_pathologist_review,False
XAI_018,external,PlantDoc,PD_EXT_0079,external_representative_correct,9,Tomato_healthy,9,Tomato_healthy,True,0.9221420288085938,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_018\input_transformed.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_018\primary_predicted_class_overlay.png,,CLEAR,NONE,HIGH,YES,HIGH,Young multi-leaf plant against textured ground with no obvious focal lesion pattern.,ChatGPT_structured_visual_review_of_locked_PART22_atlas,visual_descriptive_non_pathologist_review,False
XAI_019,external,PlantDoc,PD_EXT_0001,external_representative_incorrect,0,Tomato_Bacterial_spot,4,Tomato_Septoria_leaf_spot,False,0.9995757937431335,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_019\input_transformed.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_019\primary_predicted_class_overlay.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_019\secondary_true_class_overlay.png,CLEAR,CLEAR,MODERATE,YES,HIGH,Multiple symptomatic leaves on a bright blue background with conspicuous spotting and yellowing.,ChatGPT_structured_visual_review_of_locked_PART22_atlas,visual_descriptive_non_pathologist_review,False
XAI_020,external,PlantDoc,PD_EXT_0012,external_representative_incorrect,1,Tomato_Early_blight,4,Tomato_Septoria_leaf_spot,False,0.997334361076355,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_020\input_transformed.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_020\primary_predicted_class_overlay.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_020\secondary_true_class_overlay.png,PARTIAL,SUBTLE,HIGH,YES,MEDIUM,Cluttered natural scene with thin leaves and yellow-brown change; symptom boundaries are difficult to isolate.,ChatGPT_structured_visual_review_of_locked_PART22_atlas,visual_descriptive_non_pathologist_review,False
XAI_021,external,PlantDoc,PD_EXT_0023,external_representative_incorrect;external_high_confidence_incorrect,2,Tomato_Late_blight,1,Tomato_Early_blight,False,0.9999958276748656,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_021\input_transformed.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_021\primary_predicted_class_overlay.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_021\secondary_true_class_overlay.png,CLEAR,CLEAR,HIGH,YES,HIGH,Natural multi-leaf scene with a prominent visibly damaged leaf.,ChatGPT_structured_visual_review_of_locked_PART22_atlas,visual_descriptive_non_pathologist_review,False
XAI_022,external,PlantDoc,PD_EXT_0029,external_representative_incorrect,3,Tomato_Leaf_Mold,1,Tomato_Early_blight,False,0.9889935851097108,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_022\input_transformed.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_022\primary_predicted_class_overlay.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_022\secondary_true_class_overlay.png,PARTIAL,SUBTLE,HIGH,YES,LOW,Highly cluttered foliage scene; the target leaf and symptom extent are difficult to isolate reliably.,ChatGPT_structured_visual_review_of_locked_PART22_atlas,visual_descriptive_non_pathologist_review,False
XAI_023,external,PlantDoc,PD_EXT_0035,external_representative_incorrect,4,Tomato_Septoria_leaf_spot,1,Tomato_Early_blight,False,0.9999233484268188,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_023\input_transformed.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_023\primary_predicted_class_overlay.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_023\secondary_true_class_overlay.png,CLEAR,CLEAR,MODERATE,YES,HIGH,Several narrow visibly spotted leaves against a strong colored background.,ChatGPT_structured_visual_review_of_locked_PART22_atlas,visual_descriptive_non_pathologist_review,False
XAI_024,external,PlantDoc,PD_EXT_0047,external_representative_incorrect,7,Tomato__Tomato_YellowLeaf__Curl_Virus,2,Tomato_Late_blight,False,0.97798490524292,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_024\input_transformed.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_024\primary_predicted_class_overlay.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_024\secondary_true_class_overlay.png,PARTIAL,CLEAR,HIGH,YES,MEDIUM,Dense foliage with visibly curled and yellow-green leaves; the target leaf is not isolated.,ChatGPT_structured_visual_review_of_locked_PART22_atlas,visual_descriptive_non_pathologist_review,False
XAI_025,external,PlantDoc,PD_EXT_0068,external_representative_incorrect,8,Tomato__Tomato_mosaic_virus,2,Tomato_Late_blight,False,0.9331840872764589,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_025\input_transformed.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_025\primary_predicted_class_overlay.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_025\secondary_true_class_overlay.png,CLEAR,CLEAR,HIGH,YES,HIGH,Large central leaf with a strong mottled appearance amid surrounding foliage.,ChatGPT_structured_visual_review_of_locked_PART22_atlas,visual_descriptive_non_pathologist_review,False
XAI_026,external,PlantDoc,PD_EXT_0074,external_representative_incorrect,9,Tomato_healthy,2,Tomato_Late_blight,False,0.9657007455825806,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_026\input_transformed.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_026\primary_predicted_class_overlay.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_026\secondary_true_class_overlay.png,CLEAR,NONE,HIGH,YES,MEDIUM,Natural multi-leaf and stem scene without a clear focal disease lesion.,ChatGPT_structured_visual_review_of_locked_PART22_atlas,visual_descriptive_non_pathologist_review,False
XAI_027,external,PlantDoc,PD_EXT_0010,external_high_confidence_correct,1,Tomato_Early_blight,1,Tomato_Early_blight,True,0.999998927116394,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_027\input_transformed.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_027\primary_predicted_class_overlay.png,,CLEAR,CLEAR,HIGH,YES,HIGH,Natural multi-leaf scene with visible necrotic and brown damage.,ChatGPT_structured_visual_review_of_locked_PART22_atlas,visual_descriptive_non_pathologist_review,False
XAI_028,external,PlantDoc,PD_EXT_0013,external_high_confidence_correct,1,Tomato_Early_blight,1,Tomato_Early_blight,True,0.9999988079071044,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_028\input_transformed.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_028\primary_predicted_class_overlay.png,,CLEAR,CLEAR,MODERATE,NO,HIGH,Close view of one main leaf with prominent dark and brown lesion areas.,ChatGPT_structured_visual_review_of_locked_PART22_atlas,visual_descriptive_non_pathologist_review,False
XAI_029,external,PlantDoc,PD_EXT_0019,external_high_confidence_correct,2,Tomato_Late_blight,2,Tomato_Late_blight,True,0.9999982118606568,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_029\input_transformed.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_029\primary_predicted_class_overlay.png,,CLEAR,CLEAR,MODERATE,NO,HIGH,Single dominant leaf with a large clearly visible brown lesion.,ChatGPT_structured_visual_review_of_locked_PART22_atlas,visual_descriptive_non_pathologist_review,False
XAI_030,external,PlantDoc,PD_EXT_0028,external_high_confidence_correct,2,Tomato_Late_blight,2,Tomato_Late_blight,True,0.9999980926513672,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_030\input_transformed.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_030\primary_predicted_class_overlay.png,,CLEAR,CLEAR,HIGH,YES,HIGH,Natural scene with a central leaf containing a conspicuous brown lesion.,ChatGPT_structured_visual_review_of_locked_PART22_atlas,visual_descriptive_non_pathologist_review,False
XAI_031,external,PlantDoc,PD_EXT_0046,external_high_confidence_correct,4,Tomato_Septoria_leaf_spot,4,Tomato_Septoria_leaf_spot,True,0.9999984502792358,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_031\input_transformed.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_031\primary_predicted_class_overlay.png,,CLEAR,CLEAR,MODERATE,NO,HIGH,Close leaf view with numerous visible spots; background is present but not dominant.,ChatGPT_structured_visual_review_of_locked_PART22_atlas,visual_descriptive_non_pathologist_review,False
XAI_032,external,PlantDoc,PD_EXT_0011,external_high_confidence_incorrect,1,Tomato_Early_blight,2,Tomato_Late_blight,False,0.9999966621398926,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_032\input_transformed.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_032\primary_predicted_class_overlay.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_032\secondary_true_class_overlay.png,CLEAR,CLEAR,HIGH,YES,HIGH,Natural multi-leaf scene with a conspicuous damaged region on the central leaf.,ChatGPT_structured_visual_review_of_locked_PART22_atlas,visual_descriptive_non_pathologist_review,False
XAI_033,external,PlantDoc,PD_EXT_0020,external_high_confidence_incorrect,2,Tomato_Late_blight,3,Tomato_Leaf_Mold,False,0.9999936819076538,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_033\input_transformed.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_033\primary_predicted_class_overlay.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_033\secondary_true_class_overlay.png,CLEAR,CLEAR,MODERATE,YES,HIGH,Multiple visibly damaged leaves on a uniform blue background.,ChatGPT_structured_visual_review_of_locked_PART22_atlas,visual_descriptive_non_pathologist_review,False
XAI_034,external,PlantDoc,PD_EXT_0037,external_high_confidence_incorrect,4,Tomato_Septoria_leaf_spot,1,Tomato_Early_blight,False,0.9999880790710448,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_034\input_transformed.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_034\primary_predicted_class_overlay.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_034\secondary_true_class_overlay.png,CLEAR,CLEAR,HIGH,YES,HIGH,Prominent spotted leaf in a natural cluttered scene.,ChatGPT_structured_visual_review_of_locked_PART22_atlas,visual_descriptive_non_pathologist_review,False
XAI_035,external,PlantDoc,PD_EXT_0054,external_high_confidence_incorrect,7,Tomato__Tomato_YellowLeaf__Curl_Virus,2,Tomato_Late_blight,False,0.9999914169311525,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_035\input_transformed.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_035\primary_predicted_class_overlay.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_035\secondary_true_class_overlay.png,CLEAR,CLEAR,HIGH,YES,MEDIUM,Several yellow-green leaves in a cluttered scene with broad discoloration and curling.,ChatGPT_structured_visual_review_of_locked_PART22_atlas,visual_descriptive_non_pathologist_review,False
XAI_036,external,PlantDoc,PD_EXT_0004,external_low_confidence,0,Tomato_Bacterial_spot,4,Tomato_Septoria_leaf_spot,False,0.5455209612846375,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_036\input_transformed.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_036\primary_predicted_class_overlay.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_036\secondary_true_class_overlay.png,CLEAR,CLEAR,HIGH,YES,HIGH,Multiple leaves with clearly visible spot-like abnormalities and strong lighting/background contrast.,ChatGPT_structured_visual_review_of_locked_PART22_atlas,visual_descriptive_non_pathologist_review,False
XAI_037,external,PlantDoc,PD_EXT_0059,external_low_confidence,7,Tomato__Tomato_YellowLeaf__Curl_Virus,2,Tomato_Late_blight,False,0.5530862808227539,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_037\input_transformed.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_037\primary_predicted_class_overlay.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_037\secondary_true_class_overlay.png,PARTIAL,CLEAR,HIGH,YES,MEDIUM,Dense multi-leaf scene with yellow-green and curling changes; target boundaries are difficult to isolate.,ChatGPT_structured_visual_review_of_locked_PART22_atlas,visual_descriptive_non_pathologist_review,False
XAI_038,external,PlantDoc,PD_EXT_0060,external_low_confidence,7,Tomato__Tomato_YellowLeaf__Curl_Virus,0,Tomato_Bacterial_spot,False,0.4406662881374359,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_038\input_transformed.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_038\primary_predicted_class_overlay.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_038\secondary_true_class_overlay.png,CLEAR,CLEAR,MODERATE,YES,HIGH,Several leaves with clear yellowing and curling plus competing vertical background elements.,ChatGPT_structured_visual_review_of_locked_PART22_atlas,visual_descriptive_non_pathologist_review,False
XAI_039,external,PlantDoc,PD_EXT_0065,external_low_confidence,8,Tomato__Tomato_mosaic_virus,3,Tomato_Leaf_Mold,False,0.37744140625,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_039\input_transformed.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_039\primary_predicted_class_overlay.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_039\secondary_true_class_overlay.png,CLEAR,SUBTLE,HIGH,YES,MEDIUM,Small leaves held by a human hand; disease-specific visual pattern is subtle and a non-leaf object is prominent.,ChatGPT_structured_visual_review_of_locked_PART22_atlas,visual_descriptive_non_pathologist_review,False
XAI_040,external,PlantDoc,PD_EXT_0078,external_low_confidence,9,Tomato_healthy,2,Tomato_Late_blight,False,0.5818392634391785,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_040\input_transformed.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_040\primary_predicted_class_overlay.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_040\secondary_true_class_overlay.png,CLEAR,NONE,MODERATE,NO,MEDIUM,Single dominant yellow-green leaf with no clear focal lesion; background is blurred but visible.,ChatGPT_structured_visual_review_of_locked_PART22_atlas,visual_descriptive_non_pathologist_review,False
