embedding_row,domain,domain_code,image_path,predicted_index,confidence,embedding_norm,PC1,PC2
49,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\228ee04a-62e3-4fad-a457-62eb8b1472ee___UF.GRC_BS_Lab Leaf 0436.JPG,0,0.99999774,24.69214,9.868749,9.445864
50,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\2290365c-ec97-46fb-bc6c-51395d458821___GCREC_Bact.Sp 5937.JPG,0,0.9999995,25.273989,9.394056,11.012389
51,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\24408a22-6358-438e-99a1-729ea90726ad___GCREC_Bact.Sp 3645.JPG,0,0.9999988,24.530712,9.030188,10.78003
52,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\2471c3d8-c8b2-4e2a-9943-afb84ed48a35___GCREC_Bact.Sp 3198.JPG,0,0.9999995,25.626118,10.081461,11.535966
53,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\256051f1-8e69-4f2b-b4d5-400fccb18623___GCREC_Bact.Sp 3313.JPG,0,0.99999917,25.20108,7.657043,12.21305
54,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\2642e2b0-d2d8-49ea-b9c3-44133f863169___GCREC_Bact.Sp 5660.JPG,0,0.99999845,24.963099,7.1342106,11.564247
55,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\268422eb-2e4a-433b-bad2-d5e63a5e765d___GCREC_Bact.Sp 3466.JPG,0,0.9999995,25.614258,9.583749,11.765769
56,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\2693b1a4-a4a2-4c40-a775-75b640e50b01___GCREC_Bact.Sp 5798.JPG,0,0.9999994,25.134161,10.155144,10.633381
57,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\27753ef8-a51a-4414-970d-c26419c6e13a___GCREC_Bact.Sp 3252.JPG,0,0.9999994,25.136286,8.9951515,10.852669
58,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\277f9f6d-07b0-4687-afef-ebf67e227e96___GCREC_Bact.Sp 6364.JPG,0,0.9999993,25.515024,8.484141,11.861777
59,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\27ebdaaa-b432-4d4a-b404-a04e58a46f44___GCREC_Bact.Sp 6025.JPG,0,0.9999995,25.229366,10.117657,11.031208
60,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\2a377230-f904-4646-95da-76e242051242___GCREC_Bact.Sp 3085.JPG,0,0.9999993,25.315142,8.405616,12.012136
61,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\2b77473d-c669-4e5e-bf26-c1d32c800001___GCREC_Bact.Sp 3005.JPG,0,0.9999995,25.260994,8.608025,11.580667
62,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\2c0d4b4f-d53f-4acc-bc40-ae766236b526___UF.GRC_BS_Lab Leaf 9298.JPG,0,0.9999981,24.773546,7.7285542,11.847921
63,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\2c8b59b4-05b2-4234-aa0d-15a52e624e52___GCREC_Bact.Sp 3027.JPG,0,0.9999994,25.18729,9.435323,11.262762
64,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\2cafa053-4dd6-4528-bb4f-53e4afeecefe___GCREC_Bact.Sp 2968.JPG,0,0.9999994,24.970636,8.418528,10.963631
65,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\2cd0bf74-c7ca-4b2f-87e4-1ba003e8b944___GCREC_Bact.Sp 3414.JPG,0,0.9999994,25.550041,9.68484,11.749492
66,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\2e917b6c-8617-419d-b54e-2e5222d88e09___UF.GRC_BS_Lab Leaf 8938.JPG,0,0.9999994,25.390148,9.526448,10.969279
67,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\2fa6fe6b-a7dc-471e-a878-b8d8e0121126___GCREC_Bact.Sp 3159.JPG,0,0.9999993,25.235973,10.304676,10.872794
68,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\2fb3c629-42bc-4027-8f7b-505ce5e0c211___GCREC_Bact.Sp 3460.JPG,0,0.9999995,25.406395,9.604728,11.2591915
69,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\2fd17140-f483-4f98-9d08-fc9e57b355e1___GCREC_Bact.Sp 6269.JPG,0,0.9999993,25.476192,8.768697,12.298437
70,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\305e943b-26f0-470a-83e1-3c2c05bac687___GCREC_Bact.Sp 5887.JPG,0,0.9999995,25.416632,9.126849,11.815427
71,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\32231fc1-ec78-45c6-9c7a-8412a7e38a25___GCREC_Bact.Sp 6143.JPG,0,0.9999995,25.227318,9.376831,11.274322
72,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\325d6d7f-c30b-43a3-8714-74b9cee673b0___GCREC_Bact.Sp 5984.JPG,0,0.9999994,24.844545,9.402317,10.062476
73,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\3423b48a-9ded-4b8f-b552-1121e156f932___GCREC_Bact.Sp 5894.JPG,0,0.9999995,25.23132,9.574478,11.117478
74,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\355edec8-e1bd-4f57-afa3-cbf03c2f06b1___GCREC_Bact.Sp 3353.JPG,0,0.99999917,24.959196,8.732141,10.6739645
75,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\372d40b5-aac9-43d3-b9e7-08d52467622c___GCREC_Bact.Sp 6215.JPG,0,0.9999995,25.052652,8.935788,11.094601
76,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\37d9751a-27aa-4771-a131-5411a43028f5___GCREC_Bact.Sp 3470.JPG,0,0.9999989,25.277588,10.015901,10.838004
77,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\38f440f1-c527-4d22-abf0-61bc2effa58b___GCREC_Bact.Sp 2946.JPG,0,0.9999994,25.424917,8.836132,11.203769
78,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\3926a14d-ed26-4c2b-9dcc-a15370eae355___GCREC_Bact.Sp 5647.JPG,0,0.9999993,24.937378,9.899387,10.3398285
79,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\393946a5-3f5d-4ed3-af1f-fcb7647b369d___GCREC_Bact.Sp 6190.JPG,0,0.9999993,24.86178,7.8870573,10.751754
80,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\3a9b39fb-47f0-4a36-b80d-9cea0c9ff58b___GCREC_Bact.Sp 6173.JPG,0,0.9999995,25.094967,9.113174,11.121714
81,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\3aa68bda-a2db-4986-a260-3acde7bbceda___GCREC_Bact.Sp 5603.JPG,0,0.9999994,25.050371,9.845695,10.709034
82,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\3b41dc98-4539-4b3d-9400-2867156db0fc___GCREC_Bact.Sp 3483.JPG,0,0.9999994,24.981451,9.678894,10.885596
83,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\3cd5b241-d5f1-4ae7-92ea-447613dac98a___GCREC_Bact.Sp 3561.JPG,0,0.9999994,25.269651,7.8794236,11.777465
84,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\3f71f836-8ffa-4bf7-98f7-e5cff0887fe1___GCREC_Bact.Sp 3814.JPG,0,0.9999995,25.320566,9.748999,12.123086
85,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\405e216e-b24f-4688-bd81-09de831eaada___UF.GRC_BS_Lab Leaf 0329.JPG,0,0.9999994,24.85104,9.296519,10.540043
86,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\411860f2-2474-462d-83ea-ab11e3f5afe6___GCREC_Bact.Sp 3373.JPG,0,0.9999988,24.846678,8.654714,10.773903
87,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\417a1a4c-18d5-449e-995c-1512f7cdcd41___GCREC_Bact.Sp 6367.JPG,0,0.99999917,25.529686,8.137125,11.498876
88,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\431d6abc-9adb-4454-a3c6-e6b6a3ec79db___GCREC_Bact.Sp 6045.JPG,0,0.9999993,24.969679,10.808221,10.149881
89,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\43b71f8a-175a-4847-a2c8-69c7d2f59f10___GCREC_Bact.Sp 3476.JPG,0,0.9999994,25.340162,9.457142,12.017854
90,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\43d79893-c9e3-49b1-9dd7-52677d9bd325___GCREC_Bact.Sp 3196.JPG,0,0.9999993,25.3751,9.145291,11.651021
91,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\45b562f0-a975-4c93-a705-699d7cc977bc___GCREC_Bact.Sp 5733.JPG,0,0.9999994,25.44093,8.539261,11.5782995
92,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\47a3c2c9-1f3b-4d42-8857-cfc714042c2a___UF.GRC_BS_Lab Leaf 8631.JPG,0,0.99999833,24.849588,7.2487025,11.193032
93,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\486fec1f-c2fe-4aab-9e88-46ad54ebdbea___GCREC_Bact.Sp 5995.JPG,0,0.9999993,25.093397,9.863013,10.776615
94,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\48ea939e-918d-4cc2-8285-267811f84914___GCREC_Bact.Sp 3634.JPG,0,0.9999994,24.930752,9.852007,10.613162
95,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\4990878e-265e-4dad-98cf-ce60fb67035b___GCREC_Bact.Sp 3479.JPG,0,0.9999994,25.290642,9.462239,10.989186
96,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\49bfc0c9-1a64-4a1b-8a52-50d0df72e140___GCREC_Bact.Sp 3817.JPG,0,0.9999995,25.408188,9.646511,11.768986
97,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\49c04c82-89d6-480e-96a3-d74a14b717b3___GCREC_Bact.Sp 3274.JPG,0,0.9999994,24.936472,9.644566,10.998341
98,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\49c34c1b-08a8-4bdd-a933-0eb4daff5f97___GCREC_Bact.Sp 3501.JPG,0,0.9999995,25.226334,8.862727,11.651343
99,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\4bd24403-eb33-4848-b47e-39e4d48333fa___GCREC_Bact.Sp 3713.JPG,0,0.9999989,24.769041,10.202421,8.900145
100,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\4cc672a5-b8d1-4f05-b95f-333e72fa6205___GCREC_Bact.Sp 5997.JPG,0,0.99999917,25.048107,10.259525,10.687996
101,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\4d036bc9-ce94-4da8-af1b-564b2846fbf8___GCREC_Bact.Sp 5789.JPG,0,0.9999993,25.13161,10.352031,10.086806
102,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\4da52d81-c129-4638-9fb5-2b412130ed05___GCREC_Bact.Sp 3475.JPG,0,0.9999995,25.206495,9.282951,11.451623
103,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\4ef7faee-a40b-4f02-9ecb-d660ed0fd708___GCREC_Bact.Sp 6322.JPG,0,0.9999988,25.28663,7.1533556,11.2620735
104,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\4f107108-ac41-4921-b933-4e041604de61___GCREC_Bact.Sp 5579.JPG,0,0.99999905,24.827217,9.445426,9.560441
105,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\50396b93-07af-41f8-bd0c-9d5068e1699e___GCREC_Bact.Sp 5662.JPG,0,0.9999987,24.931816,7.8568125,11.578494
106,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\51f50a63-acca-45b3-866a-95e339e08e91___GCREC_Bact.Sp 3319.JPG,0,0.9999995,25.192446,9.880792,10.688172
107,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\52a7b480-2795-4a77-b301-1df31e4e4718___GCREC_Bact.Sp 6118.JPG,0,0.99999917,25.242474,8.22267,11.4185
108,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\53a586ef-8136-4f96-929e-f51c590a628c___UF.GRC_BS_Lab Leaf 0769.JPG,0,0.9999989,24.75327,9.549612,10.494766
109,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\53fbf33e-78a4-4e56-862b-69b2eed0d72e___GCREC_Bact.Sp 3047.JPG,0,0.9999994,25.201418,8.848009,11.23043
110,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\54f6ee80-e418-4320-b8bc-789e702c4b14___GCREC_Bact.Sp 6328.JPG,0,0.9999995,25.33718,8.446857,11.848081
111,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\5512c9ea-9177-4860-8035-c4f8b2025693___GCREC_Bact.Sp 5651.JPG,0,0.9999988,25.147432,10.450314,11.047184
112,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\55b8b2b8-0967-441a-9524-9c4cdfe6db46___GCREC_Bact.Sp 3075.JPG,0,0.9999995,25.149353,9.880558,11.046125
113,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\5b65716f-ed7d-42cc-b9b6-c7712782f366___UF.GRC_BS_Lab Leaf 9230.JPG,0,0.99999905,24.72383,8.997089,10.80329
114,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\5bbb489c-d164-4e67-a965-6ab33a754d3f___GCREC_Bact.Sp 3016.JPG,0,0.9999995,25.45637,8.354195,12.032942
115,PlantVillage Internal,0,D:\Tomato_Disease_Research\plantvillage\Tomato_Bacterial_spot\5c04a777-eb5c-4864-9c18-bc39d0c4dd2a___GCREC_Bact.Sp 5969.JPG,0,0.9999993,25.130455,9.030563,10.644332
