split,external_class_name,filename,relative_path,extension,file_size_bytes,width,height,mode,detected_format,sha256,verify_pass,load_pass,valid_dimensions,integrity_status,error
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_39.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_39.jpg,.jpg,17134,236,314,RGB,JPEG,edd0af091234d6a6c73df4c15edf5c2ac71b756e4594557707addc5e20736640,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_4.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_4.jpg,.jpg,56206,660,440,RGB,JPEG,6ae670ce5fcc26e159e08bca37c94426614d50c836b337e8bc645cd52579fde2,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_40.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_40.jpg,.jpg,161058,900,675,RGB,JPEG,f54d8cf627857c535b768b40927f5fe54cad4aa546d0bb1ae91c5d78a30ab442,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_41.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_41.jpg,.jpg,3907885,3872,2592,RGB,JPEG,132b165fcb49e37cee77a1b35c28192c55011f441f2c484dc840a8f3998aa24e,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_42.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_42.jpg,.jpg,146979,465,350,RGB,JPEG,d0c8a4d48ed9a3f9435d1affb82ac10e9a06adb0f2615ff62e83e21bdfa281fc,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_43.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_43.jpg,.jpg,37694,680,510,RGB,JPEG,207e6d9c3b2fb702ac22d551d7add6f5df1dc20921f66ebbb25250d211e5aa4a,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_44.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_44.jpg,.jpg,142891,900,675,RGB,JPEG,8d9382d0a81d0b6a2d7bab2426dbb801d491bc9f8b9c1a56ab9630e4ea79440e,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_45.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_45.jpg,.jpg,19994,350,263,RGB,JPEG,8ec0ab005a98df520cd8cb9959d95c851e9ca3d0d7f7075dac168f035bbf2800,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_46.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_46.jpg,.jpg,26454,250,301,RGB,JPEG,e53dafded16607655d8de9a1f8e9938209784e5893a9b2bd8a28572525d5aea5,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_47.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_47.jpg,.jpg,1656017,2048,1360,RGB,JPEG,00267e1c492f34fbac534cd9994b7b1f039e8ef03d733ca4fcd429e5d4bfe105,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_48.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_48.jpg,.jpg,13139,298,246,RGB,JPEG,39e0c2d68640416904d05c046689e81c8658e482b5fe9cd55f53e9f1bc51269a,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_49.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_49.jpg,.jpg,60142,375,300,RGB,JPEG,be84048ef0f394ed981c12d457700d1c24edc3b210fa3d0c8ebd1deb73f7fb3b,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_5.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_5.jpg,.jpg,864888,1008,672,RGB,JPEG,17419a4b47683575f01f06bc0e875bdd062ee735a3ed85230eec0b681eaae639,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_50.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_50.jpg,.jpg,604433,2592,1944,RGB,JPEG,9d4d6efbace12e51b26f7484aea0f59fbcb3efac75aa41a3fec6c24b040e85e4,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_51.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_51.jpg,.jpg,89151,500,667,RGB,JPEG,d57335974304fa7882aecbab9e5383aa4f3ac3fbf2b04ad494d0eff8035f59ab,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_52.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_52.jpg,.jpg,107207,600,762,RGB,JPEG,5bc940babd0563aa3b07315884dcfed3aeba47e32c742cd633fb6b35be14eff6,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_53.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_53.jpg,.jpg,185177,300,450,RGB,JPEG,0d2d54e20fec032f1a9da367df05eb364e42cf1f18f83c0be6e86ed09f9b9abf,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_54.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_54.jpg,.jpg,123025,454,291,RGB,JPEG,ab6642a5059e272e37d829d1e651b92d3b0af1322d4de601eb5a242267232d70,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_55.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_55.jpg,.jpg,20239,286,209,RGB,JPEG,2bbd412c3becf1c8b468630f6536855ee9e39705be3905a9d62db51f32595ed0,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_56.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_56.jpg,.jpg,279599,432,652,RGB,JPEG,ad58b81b4efb75dab014cfd52f1a36f5a6aa5cccb2459f4a08fed3478bf0017b,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_57.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_57.jpg,.jpg,131207,328,477,RGB,JPEG,78ad69752fa5b5f012d0d1af5afe205deabc3d28d480f381dc08a854e89af059,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_58.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_58.jpg,.jpg,224640,804,604,RGB,JPEG,b5e3b14290f95abf17305d6555fe1412b1f59b0331094d6da7e1a304d0e8cf65,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_59.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_59.jpg,.jpg,35819,300,450,RGB,JPEG,9145ae957dc02636c9cae1d25e9b43fdc0ee330eb7131b12e244457d684ba326,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_6.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_6.jpg,.jpg,79719,347,540,RGB,JPEG,c693d01fd09c567b0dcd5697213681e0da16674d235733ef5e9801e4627fc8ff,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_60.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_60.jpg,.jpg,30321,320,240,RGB,JPEG,4c3dc3081f8fb2b15d15c0ebc574e351c0f6463d5e86a77deb98bb70cd6097ee,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_61.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_61.jpg,.jpg,18137,303,296,RGB,JPEG,dab4afc0ccde1fbb391f8c0e6f3da190ea3565eb66457ea7e2355f712c443e0e,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_62.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_62.jpg,.jpg,200840,640,413,RGB,JPEG,8bb6d80747eb3b6987239685bd3aa19f6607c684eeaab2ca571a37f91a6b5763,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_63.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_63.jpg,.jpg,26129,598,332,RGB,JPEG,55c2e84169c7e645d9c23583e6ad8eaf19e930ee99b33b38a8c4c60e639e0099,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_64.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_64.jpg,.jpg,20668,400,300,RGB,JPEG,f9c1209dd47829d787c6562fb2bd0e184efd64e35891fed993c351ce56dc6dd5,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_65.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_65.jpg,.jpg,122285,564,377,RGB,JPEG,f77bc6d3e2386c79fad89927193f46133253ad6472295ace1b994fc6e97c51bb,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_66.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_66.jpg,.jpg,44552,810,450,RGB,JPEG,3445460118b42927cd77ca03b2c35f78173f48117d5aaccfa63b00324d8a2f19,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_67.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_67.jpg,.jpg,37327,498,312,RGB,JPEG,93ab9e69d6fc9f1e56196623dcc56f9d7a96fa33837ad69b72e7d6064c859b53,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_68.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_68.jpg,.jpg,86114,448,336,RGB,JPEG,1a49e6707324fe524abd939a7f812db75cbe48021c6b64de1357c80d50da3d86,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_69.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_69.jpg,.jpg,209186,1200,900,RGB,JPEG,ac23b8c1a19766e3c126cfe1d0e3f8b4ef4632c653a6f21414da441564ebf6d3,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_7.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_7.jpg,.jpg,232120,800,597,RGB,JPEG,a218e87485e3460381942c140ec90e1015e08885f990d9271606b9a33b4c8d09,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_70.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_70.jpg,.jpg,70355,813,576,RGB,JPEG,d9184e763d4bab679a6227ddbacc931f2b869df0c0c1d7a4fd57b54c33951004,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_71.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_71.jpg,.jpg,87349,600,800,RGB,JPEG,1989e34c3dd3cdf8d2867d6f2e8cfd0f8f45ab096264856776b049b243489396,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_72.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_72.jpg,.jpg,17016,382,261,RGB,JPEG,3ac5eeec11f5f30eac6be32cad0a832ac56f2b47ed07fc2735e54bd3b872fd33,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_73.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_73.jpg,.jpg,30846,300,400,RGB,JPEG,cfb56ff1c8a42b9444f41b4e5715387bbd669aed97af5bbd78732bf3640f68f2,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_74.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_74.jpg,.jpg,122245,600,900,RGB,JPEG,55fdd8fd51fe951d7feb95e7d24f21003cba193ee8b6235047bcb241a70296ee,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_75.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_75.jpg,.jpg,24241,448,336,RGB,JPEG,6fa67a7e5771f317ad1e389f885e2b6ffc751f93f3d4b9605966905eb0e570a9,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_76.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_76.jpg,.jpg,81380,966,725,RGB,JPEG,6b1819bc9dee9e1436e94b6a431183cca88a28744a2bfa25aa1d986039c29fa1,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_77.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_77.jpg,.jpg,23254,325,216,RGB,JPEG,01cd050387f24fcbedb590c2b2ec5b2e959a9677b0b90036adc87e95d7b9fbd1,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_78.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_78.jpg,.jpg,86783,800,600,RGB,JPEG,76768246f4d25f6a8acb5ca05f3c5e2f0bfe4804f8ec61ab7d5948d2e4419ab9,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_79.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_79.jpg,.jpg,47801,800,600,RGB,JPEG,12ce0c3a8c2a2004e28e6927eddfa5199c1e7b5e1bc3f2cf6f1d9eb43824f620,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_8.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_8.jpg,.jpg,147109,800,602,RGB,JPEG,ee8fd5aff128b5c1b2e609ba97c4cc71c50d5fe3199e346dadd9feca74c32ed0,True,True,True,VALID,
train,Tomato_Early_blight_leaf,train_Tomato Early blight leaf_9.jpg,train\Tomato_Early_blight_leaf\train_Tomato Early blight leaf_9.jpg,.jpg,400825,1920,1440,RGB,JPEG,70b3e43a7e28d4d4aa09d07b37f0be1682a77ae0e84071fb74835e3e3db3c967,True,True,True,VALID,
train,Tomato_leaf,train_Tomato leaf_10.jpg,train\Tomato_leaf\train_Tomato leaf_10.jpg,.jpg,160550,1141,957,RGB,JPEG,e438d3b3fd67dfa52cd23cf3aae3233dea1c58dd7fe177fdab0b750ac56a2dea,True,True,True,VALID,
train,Tomato_leaf,train_Tomato leaf_12.jpg,train\Tomato_leaf\train_Tomato leaf_12.jpg,.jpg,144020,550,733,RGB,JPEG,02b4ea0990e9f4aa7fc87781695d40a5d42a38e3c8461790bb65764c0e74d03e,True,True,True,VALID,
train,Tomato_leaf,train_Tomato leaf_13.jpg,train\Tomato_leaf\train_Tomato leaf_13.jpg,.jpg,44060,401,422,RGB,JPEG,d052c3663489cf27b32d2e62284f5200afa43c42c67f3d3517e1e792c6612a73,True,True,True,VALID,
train,Tomato_leaf,train_Tomato leaf_14.jpg,train\Tomato_leaf\train_Tomato leaf_14.jpg,.jpg,317946,1600,1200,RGB,JPEG,b070fe8ff66dc8071997ee06f13d31ff5bf7c5348eab09a9f5ef39b76861b50f,True,True,True,VALID,
train,Tomato_leaf,train_Tomato leaf_15.jpg,train\Tomato_leaf\train_Tomato leaf_15.jpg,.jpg,163165,1600,1200,RGB,JPEG,5e2472f415aeb8e7cc254db1f17b2d14a4f2daae70b685ee8a70a29f0f99308a,True,True,True,VALID,
train,Tomato_leaf,train_Tomato leaf_19.jpg,train\Tomato_leaf\train_Tomato leaf_19.jpg,.jpg,258164,1351,1212,RGB,JPEG,7b9bea94f113191dde5e236f7da4b926d2647bf4a2d858e1fc6e8a5f3665f6af,True,True,True,VALID,
train,Tomato_leaf,train_Tomato leaf_20.jpg,train\Tomato_leaf\train_Tomato leaf_20.jpg,.jpg,71699,800,800,RGB,JPEG,da315866780e76ac36b5cee1dab4d5d3c2432f8d4f9cd3c93410dfd6ef46044f,True,True,True,VALID,
train,Tomato_leaf,train_Tomato leaf_22.jpg,train\Tomato_leaf\train_Tomato leaf_22.jpg,.jpg,117907,862,954,RGB,JPEG,08b049fe1154b6715bd5301ce789efe02b5c18576a90318ffcfb2f874ff8b68c,True,True,True,VALID,
train,Tomato_leaf,train_Tomato leaf_23.jpg,train\Tomato_leaf\train_Tomato leaf_23.jpg,.jpg,316343,1600,1200,RGB,JPEG,3939bedbdd597ee39fc74bf1a76772765082e4586ca4029a3169feadee1506a5,True,True,True,VALID,
train,Tomato_leaf,train_Tomato leaf_24.jpg,train\Tomato_leaf\train_Tomato leaf_24.jpg,.jpg,138806,913,735,RGB,JPEG,b1c879c99559681c4fa055c11539d315d7b75fd86cfe5e0aab15bcbe7a086b58,True,True,True,VALID,
train,Tomato_leaf,train_Tomato leaf_26.jpg,train\Tomato_leaf\train_Tomato leaf_26.jpg,.jpg,3587732,3872,2592,RGB,JPEG,d18871798c866d452749fc1b54a53eff916e997ccd663622f17077fc375d480b,True,True,True,VALID,
train,Tomato_leaf,train_Tomato leaf_27.jpg,train\Tomato_leaf\train_Tomato leaf_27.jpg,.jpg,153154,1500,1125,RGB,JPEG,b841720c688db5f8a1989394b8f5aaf59c1a9ce5a855d66ad843be928db7c41a,True,True,True,VALID,
train,Tomato_leaf,train_Tomato leaf_3.jpg,train\Tomato_leaf\train_Tomato leaf_3.jpg,.jpg,79542,504,504,RGB,JPEG,00e53e586ba90c09f18553cc17acb94857d35d264a982907418435bdd0155abc,True,True,True,VALID,
train,Tomato_leaf,train_Tomato leaf_30.jpg,train\Tomato_leaf\train_Tomato leaf_30.jpg,.jpg,205485,1600,1200,RGB,JPEG,50e8f7928017878f7f020bb8f52b61f99d74f3db1d20c80d41a612e04695d32d,True,True,True,VALID,
train,Tomato_leaf,train_Tomato leaf_33.jpg,train\Tomato_leaf\train_Tomato leaf_33.jpg,.jpg,410719,1500,1101,RGB,JPEG,d74f68edff7e6422ce148d1a574044649cb95c86bda82f951406d812682b6718,True,True,True,VALID,
