near_duplicate_group,image_id,relative_path,class,md5_hash,phash,group_size,class_count,split
NDG_001537,PV_4b26b6cf6e2652bf,Tomato_Spider_mites_Two_spotted_spider_mite/75c39e92-9f7a-4266-b6bb-56bb3cd48dcb___Com.G_SpM_FL 9523.JPG,Tomato_Spider_mites_Two_spotted_spider_mite,4b26b6cf6e2652bf3d258a99dc36b335,e11697699e699c25,2,1,train
NDG_001537,PV_18ba30c45f307a5a,Tomato_Spider_mites_Two_spotted_spider_mite/82e7ae32-dee2-4e83-aeb3-aab7a4bdf04f___Com.G_SpM_FL 9263.JPG,Tomato_Spider_mites_Two_spotted_spider_mite,18ba30c45f307a5ac37c9272adb069ad,e11697799e499c25,2,1,train
NDG_001547,PV_86a0e6bc4defe898,Tomato__Tomato_YellowLeaf__Curl_Virus/6243f4bc-d40f-4cae-bca1-7ed1206c2d0e___UF.GRC_YLCV_Lab 02620.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,86a0e6bc4defe898d68b921485a29876,a1367ec8f0b1991b,2,1,train
NDG_001547,PV_18d2fc4597c37da5,Tomato__Tomato_YellowLeaf__Curl_Virus/76538e40-4986-4f01-bfdd-bd3d4f0453f1___UF.GRC_YLCV_Lab 02621.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,18d2fc4597c37da551393e2b963f62e7,81367ec8f0b18b1f,2,1,train
NDG_001778,PV_6922c807ca54c8b4,Tomato_healthy/ca4e96c1-9bf0-49fb-804f-c895905c0584___GH_HL Leaf 210.2.JPG,Tomato_healthy,6922c807ca54c8b4d591a9fa6bb55173,9fe7609662ca318d,2,1,train
NDG_001778,PV_1cc85f9aaeebce36,Tomato_healthy/d442075f-73bb-47a0-9545-9b36bca9300b___GH_HL Leaf 210.JPG,Tomato_healthy,1cc85f9aaeebce36dc53cf5360c58f5e,9fe5609662cb118f,2,1,train
NDG_001973,PV_1ffe0fb675dc09a7,Tomato_healthy/71967e69-6356-49c1-81ce-624792b4d964___GH_HL Leaf 315.1.JPG,Tomato_healthy,1ffe0fb675dc09a74bfc8381bef8c521,dba421d6229bcd99,2,1,train
NDG_001973,PV_60a2a756f8a52aa8,Tomato_healthy/9b5626b0-ea1d-45d0-bc41-c898f7253a75___GH_HL Leaf 315.2.JPG,Tomato_healthy,60a2a756f8a52aa8bd6d32bff88c3b31,daad21d6229bc599,2,1,train
NDG_002278,PV_b4e83f08ac1c145f,Tomato__Tomato_YellowLeaf__Curl_Virus/03fa456e-aa89-409f-a18c-42566f4b2882___UF.GRC_YLCV_Lab 01528.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,b4e83f08ac1c145fbfa9e589d9546039,c26b2d34613337f2,2,1,train
NDG_002278,PV_24d1ff5c0873f903,Tomato__Tomato_YellowLeaf__Curl_Virus/21a4dee8-257f-48ea-90d2-0d2402b1a88a___UF.GRC_YLCV_Lab 01524.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,24d1ff5c0873f9039f45c0eef46ac31a,e26b2d24617237f2,2,1,train
NDG_002335,PV_25a300651948d09f,Tomato_healthy/ad8359a4-48b9-4469-a012-ed9b220de38e___GH_HL Leaf 285.1.JPG,Tomato_healthy,25a300651948d09f49db5d182d5fbf3d,c8b337c21c2dd33c,2,1,test
NDG_002335,PV_a79d54a0567d475a,Tomato_healthy/fd2fa9cc-2147-40ff-9e71-0056eb7884ed___GH_HL Leaf 285.JPG,Tomato_healthy,a79d54a0567d475a6ed8fbfa5d67a031,c8b327c23c2dd33c,2,1,test
NDG_003249,PV_7b6a4c57cf10e61e,Tomato__Tomato_YellowLeaf__Curl_Virus/162a2c9a-53ec-468c-bbaa-145e7acdb8db___UF.GRC_YLCV_Lab 02537.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,7b6a4c57cf10e61ea384836cc0b1ea83,81da7ce42693e31b,2,1,validation
NDG_003249,PV_3453d99b12edd893,Tomato__Tomato_YellowLeaf__Curl_Virus/21401648-7356-4019-9781-516afa0ff7c4___UF.GRC_YLCV_Lab 02527.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,3453d99b12edd89365aa2daf6ef91fe9,81da7ccc26b2e31b,2,1,validation
NDG_003309,PV_3565c83ef35a920a,Tomato_Spider_mites_Two_spotted_spider_mite/497393f6-55bc-4e2b-b208-fa0f54ba8c92___Com.G_SpM_FL 1420.JPG,Tomato_Spider_mites_Two_spotted_spider_mite,3565c83ef35a920a1ae302a069376156,b1579b69c66c9864,2,1,train
NDG_003309,PV_bb19322aad713b46,Tomato_Spider_mites_Two_spotted_spider_mite/e33fa280-f5cc-404b-a205-36966e9ceb38___Com.G_SpM_FL 8950.JPG,Tomato_Spider_mites_Two_spotted_spider_mite,bb19322aad713b460abf5c158b41d9e4,b1569b69ce6c8c64,2,1,train
NDG_003329,PV_eddf732b41a59e6f,Tomato_Leaf_Mold/fcfc6758-32cd-4e18-8d56-e3ffde988921___Crnl_L.Mold 6591.JPG,Tomato_Leaf_Mold,eddf732b41a59e6f1475c3bfff14fe3d,afe4d00bcb3d0cf0,2,2,test
NDG_003329,PV_35bee4f699b7c0ea,Tomato_Spider_mites_Two_spotted_spider_mite/20f78207-e650-4e62-8648-f660f5f1eea9___Com.G_SpM_FL 9340.JPG,Tomato_Spider_mites_Two_spotted_spider_mite,35bee4f699b7c0eaafce7f4b2d58c530,bee4d00bcb3c4cf0,2,2,test
NDG_004407,PV_47ea508e6af9630f,Tomato_Spider_mites_Two_spotted_spider_mite/af0d2ecc-72f9-40ca-ad16-b3ef9419e9ec___Com.G_SpM_FL 9559.JPG,Tomato_Spider_mites_Two_spotted_spider_mite,47ea508e6af9630fd5dcbc7ee9574211,e112ce699c6d996c,2,1,test
NDG_004407,PV_d6e8ccb5c42c67cd,Tomato_Spider_mites_Two_spotted_spider_mite/ce05bc05-0c4c-4290-903c-f46ab2ba1f53___Com.G_SpM_FL 9283.JPG,Tomato_Spider_mites_Two_spotted_spider_mite,d6e8ccb5c42c67cd529367c199f4dcfc,e512ce699c65986d,2,1,test
NDG_004666,PV_4bfb3a29a8e7e44f,Tomato_Bacterial_spot/611c6fa8-d805-4956-a786-2a4522c59f71___GCREC_Bact.Sp 5616.JPG,Tomato_Bacterial_spot,4bfb3a29a8e7e44fe207f2acf414a71f,afe0944bca0dcd36,2,1,train
NDG_004666,PV_8ca540d40bd2f857,Tomato_Bacterial_spot/efd6193d-7d5b-4207-999d-2aeb08cd64e2___GCREC_Bact.Sp 5739.JPG,Tomato_Bacterial_spot,8ca540d40bd2f857feb0e6f06349021b,abf0944bca0dcd35,2,1,train
NDG_005208,PV_5caebeaf6bd439b4,Tomato_Spider_mites_Two_spotted_spider_mite/db678f0b-cd38-408c-9029-33296dcd568d___Com.G_SpM_FL 8522.JPG,Tomato_Spider_mites_Two_spotted_spider_mite,5caebeaf6bd439b41621af6c0809967f,af72d04b836f9234,2,2,train
NDG_005208,PV_5401aef6af40f4f5,Tomato__Target_Spot/1dcaf64c-19e6-4854-8d99-53c30dbefcef___Com.G_TgS_FL 0999.JPG,Tomato__Target_Spot,5401aef6af40f4f59104abc43b13f70f,ad72d043976f9234,2,2,train
NDG_005387,PV_ea7acd15640c275e,Tomato_Late_blight/0fd882fa-471d-4bcc-ab2b-efdfaf904bc3___GHLB2 Leaf 8915.JPG,Tomato_Late_blight,ea7acd15640c275e963d5585e8010e74,8d8976c6993366cc,2,1,train
NDG_005387,PV_56ba12570ec974ea,Tomato_Late_blight/c421eebc-d8ec-42d7-bcc9-a615343216a0___GHLB2 Leaf 8912.JPG,Tomato_Late_blight,56ba12570ec974ea6d7df3a29f82f953,c99966c6993366cc,2,1,train
NDG_006186,PV_62db39dc402d7333,Tomato_Spider_mites_Two_spotted_spider_mite/01963a97-0507-43a6-ae4a-1afd8e0c4f3e___Com.G_SpM_FL 1217.JPG,Tomato_Spider_mites_Two_spotted_spider_mite,62db39dc402d7333e7cd47cc6bfaf2a3,b4f2c38d8dcc8c99,2,2,validation
NDG_006186,PV_e7c9fb26c2ef42f5,Tomato__Target_Spot/f01a8609-e4be-4450-a889-509ca769c227___Com.G_TgS_FL 9708.JPG,Tomato__Target_Spot,e7c9fb26c2ef42f584b44df394326c7e,b4d2c38f8dcc8c9c,2,2,validation
NDG_006201,PV_a9c6ff456dad94d1,Tomato_Bacterial_spot/29184f19-db21-475d-8032-a8b7c3a9c7f4___GCREC_Bact.Sp 5784.JPG,Tomato_Bacterial_spot,a9c6ff456dad94d18be7106be274284b,ab60941f92afca1d,2,1,validation
NDG_006201,PV_631ae06801058452,Tomato_Bacterial_spot/5c5dbca4-4322-4227-a543-6ff6f876a531___GCREC_Bact.Sp 5785.JPG,Tomato_Bacterial_spot,631ae068010584522f729f3961ab38fa,eb60941fd22f4a1d,2,1,validation
NDG_006238,PV_63dda7ea7303f7a6,Tomato_Bacterial_spot/196be0af-51c3-4587-bd91-9a606631d4f3___GCREC_Bact.Sp 3453.JPG,Tomato_Bacterial_spot,63dda7ea7303f7a617023e507b01f2f2,ffb0d003c35f8568,2,1,train
NDG_006238,PV_c74b7e52e06e8eb6,Tomato_Bacterial_spot/6d746b6c-52f8-4831-b541-c74d0984c130___GCREC_Bact.Sp 3169.JPG,Tomato_Bacterial_spot,c74b7e52e06e8eb65cf86bbed5a12cc2,feb1d00bc35f8528,2,1,train
NDG_006289,PV_64d7408507294798,Tomato_healthy/190a6af7-d7b1-4265-b05b-c126a7962c93___GH_HL Leaf 408.JPG,Tomato_healthy,64d740850729479848e13e1279f8b740,88f2e69e16cb25cc,2,1,validation
NDG_006289,PV_bbb00387c8d6d703,Tomato_healthy/cc289e5c-7899-4081-9ea9-c3dc3ad3d2d4___GH_HL Leaf 408.1.JPG,Tomato_healthy,bbb00387c8d6d703c84a07078b02626c,c8f2e69c168b27cc,2,1,validation
NDG_006752,PV_dd79e13309dd8812,Tomato__Tomato_YellowLeaf__Curl_Virus/2ed63cde-c59e-45df-a38b-ee87197908bb___UF.GRC_YLCV_Lab 01623.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,dd79e13309dd8812ad57c90bfcc38d79,a537d3889f920cda,2,1,train
NDG_006752,PV_6c358f0ab22ae370,Tomato__Tomato_YellowLeaf__Curl_Virus/7c215f7a-4aaf-4461-a727-7e4777daa562___UF.GRC_YLCV_Lab 01624.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,6c358f0ab22ae370da55c336720d1675,a5a7d3889f920cda,2,1,train
NDG_007141,PV_72b0ce77bd82aa6b,Tomato_Leaf_Mold/76e5026d-dc54-4129-8250-573317cc91da___Crnl_L.Mold 6700.JPG,Tomato_Leaf_Mold,72b0ce77bd82aa6b74d473b86f4eca12,afe0948fca3cc934,2,1,validation
NDG_007141,PV_8bfef5ddeec09d7a,Tomato_Leaf_Mold/78cfaa28-9259-4225-8641-5dfaceab2118___Crnl_L.Mold 6690.JPG,Tomato_Leaf_Mold,8bfef5ddeec09d7a6f8d303bcfb2c7d0,afe0d40fca3c9934,2,1,validation
NDG_007300,PV_75bbccdaf1b404c9,Tomato__Tomato_mosaic_virus/847307bc-58ab-45fc-8001-f1e07a38bc82___PSU_CG 2065.JPG,Tomato__Tomato_mosaic_virus,75bbccdaf1b404c96dc4a5d0ca1112b2,a916c76996665396,2,1,train
NDG_007300,PV_efd438a29ebf9640,Tomato__Tomato_mosaic_virus/8e59061b-3802-4297-8724-a001efb95268___PSU_CG 2064.JPG,Tomato__Tomato_mosaic_virus,efd438a29ebf9640011c96f56a2d1b7b,a916cf69946e5394,2,1,train
NDG_009687,PV_e77d55cca2e3e4ce,Tomato_Spider_mites_Two_spotted_spider_mite/45d0aca4-ce49-43cb-af35-99ac8d283930___Com.G_SpM_FL 1459.JPG,Tomato_Spider_mites_Two_spotted_spider_mite,e77d55cca2e3e4ce64e0db543989607a,aab4d04bcf2ccab4,2,1,train
NDG_009687,PV_9c586ca383749cf1,Tomato_Spider_mites_Two_spotted_spider_mite/e0837534-7480-4ba7-8f04-34f232f76008___Com.G_SpM_FL 8565.JPG,Tomato_Spider_mites_Two_spotted_spider_mite,9c586ca383749cf1590f90f0441252b3,aeb6d04bcd24cab4,2,1,train
NDG_009761,PV_9d83653d1f291c04,Tomato_Late_blight/2159d0f7-09ef-46ad-ad49-749e8ce1becc___GHLB2 Leaf 8836.JPG,Tomato_Late_blight,9d83653d1f291c04594ae97858672dbc,8ef171cf17384cc1,2,1,test
NDG_009761,PV_a15ffd671e96c379,Tomato_Late_blight/7f533ee8-1d72-486e-b2a6-b5ef2ac7cc88___GHLB2 Leaf 8837.JPG,Tomato_Late_blight,a15ffd671e96c37985ca77aa08fbf67b,8ef970cf07384ec1,2,1,test
NDG_009847,PV_a9f9f877a9696475,Tomato_healthy/0c4b06d5-4053-44fc-99b6-504934fdd3a9___GH_HL Leaf 199.1.JPG,Tomato_healthy,a9f9f877a96964759cb94d9ca7b9e068,dfe264853f8cc039,2,1,train
NDG_009847,PV_9ef8da3d29f9a355,Tomato_healthy/84991306-21f6-41fb-a723-0c7ba1dac9d3___GH_HL Leaf 199.JPG,Tomato_healthy,9ef8da3d29f9a3550ec3ddd35683ec15,9fe664853b8cd039,2,1,train
NDG_009850,PV_fd0b1e08b5aac7bb,Tomato_Leaf_Mold/d90f334c-18c3-4b20-903e-e51f57d8704d___Crnl_L.Mold 6935.JPG,Tomato_Leaf_Mold,fd0b1e08b5aac7bb0f0aad4d860ed8da,fec2973c8136e40d,2,2,train
NDG_009850,PV_9efe39c91f2265ca,Tomato_Septoria_leaf_spot/d6513bff-a877-4482-88d0-699396af3862___JR_Sept.L.S 8419.JPG,Tomato_Septoria_leaf_spot,9efe39c91f2265ca26d4249acf0c93c7,fec2973cb126c40d,2,2,train
NDG_009854,PV_adad5ad4a7855211,Tomato__Tomato_YellowLeaf__Curl_Virus/3661efa4-82dc-488c-bade-d11056803e75___UF.GRC_YLCV_Lab 01760.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,adad5ad4a7855211e4cdb269a6a70cae,c23a2fddd0aa8533,2,1,train
NDG_009854,PV_9f115e8a276f0870,Tomato__Tomato_YellowLeaf__Curl_Virus/45f05974-1b81-455b-8264-539c45ca1f75___UF.GRC_YLCV_Lab 01761.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,9f115e8a276f08701c37737280470e19,c23a2fdd92aa8572,2,1,train
NDG_010635,PV_d0384e57af2dca73,Tomato__Tomato_YellowLeaf__Curl_Virus/76762a24-0c95-40b2-b861-fc743293fb7d___UF.GRC_YLCV_Lab 02094.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,d0384e57af2dca73e4e6bfdfdcfd2f48,b3c65c99e1326764,2,1,train
NDG_010635,PV_ab6b2f522ade09e2,Tomato__Tomato_YellowLeaf__Curl_Virus/8e2f397f-3ebe-4b51-964b-e5d5372e0a8b___UF.GRC_YLCV_Lab 02095.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,ab6b2f522ade09e27a988ddf1e01ebc1,b3c45e99e1326764,2,1,train
NDG_011419,PV_b7f3614a13377cf5,Tomato_healthy/5015e0d2-a6e3-4859-aceb-78089d1b60f7___GH_HL Leaf 186.2.JPG,Tomato_healthy,b7f3614a13377cf5d9e5173ee0279e72,dcab6bc5709a8760,2,1,train
NDG_011419,PV_e3873e63edcb08af,Tomato_healthy/a7c3088b-6aeb-4e8c-97dd-4661a4cacc38___GH_HL Leaf 186.JPG,Tomato_healthy,e3873e63edcb08af167bc845104aeb34,dcab6fc4749a8560,2,1,train
NDG_011834,PV_f54896ebd977a61f,Tomato__Tomato_YellowLeaf__Curl_Virus/104fc95d-88f5-4f2e-a3ea-bfcba37f6b9f___UF.GRC_YLCV_Lab 01854.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,f54896ebd977a61fd100fb33761a7472,d4934bcdb56e5230,2,1,test
NDG_011834,PV_be600e63b181d9b5,Tomato__Tomato_YellowLeaf__Curl_Virus/4c773e62-28a8-4f16-a71f-7cdb1c5751e5___UF.GRC_YLCV_Lab 01855.JPG,Tomato__Tomato_YellowLeaf__Curl_Virus,be600e63b181d9b5f96fd5cd5451fc8f,d493cacdb56c5234,2,1,test
NDG_012410,PV_c75b2f9b7c407556,Tomato_Bacterial_spot/2b1247ef-594a-4ada-9377-1f46af51859c___GCREC_Bact.Sp 3095.JPG,Tomato_Bacterial_spot,c75b2f9b7c40755684bec3e196e00e87,ab65d44a923dda92,2,1,train
NDG_012410,PV_f97eb18b3b319097,Tomato_Bacterial_spot/dfca025b-a6d9-431a-977e-4bd174daa3a1___GCREC_Bact.Sp 5948.JPG,Tomato_Bacterial_spot,f97eb18b3b319097af0c8982804c8f5a,ab64d54e923dda90,2,1,train
