external_sample_id,relative_path,external_class_name,true_class_index,true_class_name,predicted_class_index,predicted_class_name,correct,confidence,true_class_probability,second_best_probability,prediction_margin,entropy_nats,normalized_entropy,true_class_rank,predicted_absent_gt_class,error_pair,high_confidence,very_high_confidence,low_confidence,high_confidence_error,very_high_confidence_error,confidence_band
PD_EXT_0069,test/Tomato_leaf_mosaic_virus/test_Tomato leaf mosaic virus_7.jpg,Tomato_leaf_mosaic_virus,8,Tomato__Tomato_mosaic_virus,2,Tomato_Late_blight,False,0.9993850177835177,7.533672899994923e-05,0.0004191687408232391,0.9989658490426945,0.0058330873964905165,0.0025332776687552365,3,False,Tomato__Tomato_mosaic_virus -> Tomato_Late_blight,True,True,False,True,True,>=95%
PD_EXT_0061,test/Tomato_leaf_yellow_virus/test_Tomato leaf yellow virus_6_3.jpg,Tomato_leaf_yellow_virus,7,Tomato__Tomato_YellowLeaf__Curl_Virus,2,Tomato_Late_blight,False,0.9993827934904445,1.6064849605050704e-05,0.0004963775565773337,0.9988864159338671,0.005692708057019824,0.0024723116962498915,6,False,Tomato__Tomato_YellowLeaf__Curl_Virus -> Tomato_Late_blight,True,True,False,True,True,>=95%
PD_EXT_0031,test/Tomato_mold_leaf/test_Tomato mold leaf_3.jpg,Tomato_mold_leaf,3,Tomato_Leaf_Mold,2,Tomato_Late_blight,False,0.9978730051249249,1.2219241180369498e-05,0.0019743427354708934,0.995898662389454,0.016055431017021757,0.006972785095270863,8,False,Tomato_Leaf_Mold -> Tomato_Late_blight,True,True,False,True,True,>=95%
PD_EXT_0012,test/Tomato_Early_blight_leaf/test_Tomato Early blight leaf_3.jpg,Tomato_Early_blight_leaf,1,Tomato_Early_blight,4,Tomato_Septoria_leaf_spot,False,0.997334290696774,0.0020515467920817943,0.0020515467920817943,0.9952827439046923,0.02080131433336599,0.009033896031315868,2,False,Tomato_Early_blight -> Tomato_Septoria_leaf_spot,True,True,False,True,True,>=95%
PD_EXT_0063,test/Tomato_leaf_mosaic_virus/test_Tomato leaf mosaic virus_10.jpg,Tomato_leaf_mosaic_virus,8,Tomato__Tomato_mosaic_virus,2,Tomato_Late_blight,False,0.9970752090948077,0.00012570874355291828,0.001133943568921858,0.9959412655258859,0.024462987192064186,0.0106241403483834,6,False,Tomato__Tomato_mosaic_virus -> Tomato_Late_blight,True,True,False,True,True,>=95%
PD_EXT_0073,test/Tomato_leaf/test_Tomato leaf_2.jpg,Tomato_leaf,9,Tomato_healthy,2,Tomato_Late_blight,False,0.9962724222935139,0.0021073203059415197,0.0021073203059415197,0.9941651019875724,0.029527948366046407,0.012823825037298094,2,False,Tomato_healthy -> Tomato_Late_blight,True,True,False,True,True,>=95%
PD_EXT_0009,test/Tomato_leaf_bacterial_spot/test_Tomato leaf bacterial spot_9.jpg,Tomato_leaf_bacterial_spot,0,Tomato_Bacterial_spot,4,Tomato_Septoria_leaf_spot,False,0.9954869947244986,0.003259534119431496,0.003259534119431496,0.9922274606050672,0.032648996921982976,0.014179279202893458,2,False,Tomato_Bacterial_spot -> Tomato_Septoria_leaf_spot,True,True,False,True,True,>=95%
PD_EXT_0055,test/Tomato_leaf_yellow_virus/test_Tomato leaf yellow virus_3_2.jpg,Tomato_leaf_yellow_virus,7,Tomato__Tomato_YellowLeaf__Curl_Virus,2,Tomato_Late_blight,False,0.9904013219444859,7.760451739298381e-05,0.00383997357462866,0.9865613483698573,0.06699890425686265,0.029097254412319737,8,False,Tomato__Tomato_YellowLeaf__Curl_Virus -> Tomato_Late_blight,True,True,False,True,True,>=95%
PD_EXT_0029,test/Tomato_mold_leaf/test_Tomato mold leaf_1.jpg,Tomato_mold_leaf,3,Tomato_Leaf_Mold,1,Tomato_Early_blight,False,0.9889936016074922,1.14801527711841e-06,0.01093149110283646,0.9780621105046557,0.0611046413461268,0.02653740855530016,8,False,Tomato_Leaf_Mold -> Tomato_Early_blight,True,True,False,True,True,>=95%
PD_EXT_0014,test/Tomato_Early_blight_leaf/test_Tomato Early blight leaf_5.jpg,Tomato_Early_blight_leaf,1,Tomato_Early_blight,2,Tomato_Late_blight,False,0.9847747447002516,0.00034788707017741966,0.014705032688352273,0.9700697120118993,0.08170881375724838,0.03548568693763348,3,False,Tomato_Early_blight -> Tomato_Late_blight,True,True,False,True,True,>=95%
PD_EXT_0066,test/Tomato_leaf_mosaic_virus/test_Tomato leaf mosaic virus_4.jpg,Tomato_leaf_mosaic_virus,8,Tomato__Tomato_mosaic_virus,2,Tomato_Late_blight,False,0.9808015240373964,0.00040379807854005117,0.018282213844546882,0.9625193101928495,0.09986727502193386,0.04337180646474033,3,False,Tomato__Tomato_mosaic_virus -> Tomato_Late_blight,True,True,False,True,True,>=95%
PD_EXT_0047,test/Tomato_leaf_yellow_virus/test_Tomato leaf yellow virus_1.jpg,Tomato_leaf_yellow_virus,7,Tomato__Tomato_YellowLeaf__Curl_Virus,2,Tomato_Late_blight,False,0.9779849502528781,0.018494124444130813,0.018494124444130813,0.9594908258087473,0.11885651367279736,0.05161872802635429,2,False,Tomato__Tomato_YellowLeaf__Curl_Virus -> Tomato_Late_blight,True,True,False,True,True,>=95%
PD_EXT_0067,test/Tomato_leaf_mosaic_virus/test_Tomato leaf mosaic virus_5.jpg,Tomato_leaf_mosaic_virus,8,Tomato__Tomato_mosaic_virus,3,Tomato_Leaf_Mold,False,0.9704960188672511,0.0006736407492641784,0.02573904233718955,0.9447569765300615,0.14824316020715544,0.06438118645786732,4,False,Tomato__Tomato_mosaic_virus -> Tomato_Leaf_Mold,True,True,False,True,True,>=95%
PD_EXT_0074,test/Tomato_leaf/test_Tomato leaf_3.jpg,Tomato_leaf,9,Tomato_healthy,2,Tomato_Late_blight,False,0.9657007131768355,0.0006961955571688748,0.015520430580507484,0.950180282596328,0.19774053008178227,0.085877621063142,7,False,Tomato_healthy -> Tomato_Late_blight,True,True,False,True,True,>=95%
PD_EXT_0036,test/Tomato_Septoria_leaf_spot/test_Tomato Septoria leaf spot_11.jpg,Tomato_Septoria_leaf_spot,4,Tomato_Septoria_leaf_spot,0,Tomato_Bacterial_spot,False,0.9526237908950078,0.03732238362287387,0.03732238362287387,0.9153014072721339,0.21755208463313216,0.09448166988271851,2,False,Tomato_Septoria_leaf_spot -> Tomato_Bacterial_spot,True,True,False,True,True,>=95%
